customer_id,age,gender,country,signup_date,marketing_channel
1,56,Female,Germany,2023-10-17,Google Ads
2,69,Male,Austria,2022-04-25,Social Media
3,46,Female,Belgium,2022-01-26,Social Media
4,32,Male,Austria,2022-10-09,Referral
5,60,Female,Netherlands,2022-09-08,Referral
6,25,Other,Germany,2022-08-17,Social Media
7,38,Male,Germany,2022-05-23,Social Media
8,56,Male,Germany,2022-04-15,Google Ads
9,36,Male,Austria,2023-11-24,Google Ads
10,40,Male,Switzerland,2023-07-13,Social Media
11,28,Female,Belgium,2022-03-31,Google Ads
12,28,Female,Germany,2023-08-28,Social Media
13,41,Male,Germany,2023-03-09,Organic
14,53,Male,Switzerland,2022-02-02,Email
15,57,Male,Austria,2022-01-31,Email
16,41,Female,Germany,2022-04-06,Google Ads
17,20,Male,Germany,2022-08-12,Referral
18,39,Female,Switzerland,2022-08-27,Referral
19,19,Female,Switzerland,2023-06-02,Social Media
20,41,Female,Germany,2023-09-09,Social Media
21,61,Male,Germany,2022-01-28,Google Ads
22,47,Female,Belgium,2023-07-29,Social Media
23,55,Male,Austria,2022-07-23,Google Ads
24,19,Male,Germany,2023-10-28,Email
25,38,Female,Germany,2023-12-20,Google Ads
26,50,Female,Switzerland,2023-07-13,Google Ads
27,29,Male,Germany,2023-03-06,Google Ads
28,39,Male,Germany,2022-08-14,Referral
29,61,Male,Austria,2023-04-05,Social Media
30,42,Male,Germany,2023-08-27,Email
31,66,Male,Austria,2022-10-12,Social Media
32,44,Male,Germany,2022-01-07,Social Media
33,59,Male,Austria,2022-06-13,Email
34,45,Female,Germany,2023-12-16,Social Media
35,33,Female,Germany,2023-03-09,Social Media
36,32,Female,Germany,2022-12-15,Social Media
37,64,Male,Netherlands,2022-10-12,Email
38,68,Female,Netherlands,2022-06-09,Email
39,61,Female,Germany,2022-08-09,Social Media
40,69,Female,Switzerland,2022-12-11,Email
41,20,Female,Austria,2022-04-15,Social Media
42,54,Female,Belgium,2022-04-05,Email
43,68,Female,Germany,2023-01-25,Google Ads
44,24,Male,Austria,2022-04-10,Email
45,38,Female,Germany,2023-01-03,Referral
46,26,Female,Germany,2022-12-19,Referral
47,56,Female,Belgium,2023-09-11,Social Media
48,35,Female,Austria,2022-09-28,Organic
49,21,Male,Germany,2022-02-14,Social Media
50,42,Male,Germany,2023-04-16,Referral
51,31,Female,Switzerland,2023-07-04,Social Media
52,67,Female,Austria,2022-05-08,Google Ads
53,26,Female,Germany,2023-01-23,Social Media
54,43,Male,Belgium,2022-03-22,Social Media
55,19,Male,Germany,2023-07-20,Email
56,37,Female,Germany,2022-10-28,Referral
57,45,Female,Netherlands,2023-10-06,Email
58,64,Female,Germany,2023-09-26,Email
59,24,Male,Germany,2023-01-06,Organic
60,61,Female,Austria,2023-08-15,Social Media
61,25,Male,Switzerland,2022-07-16,Social Media
62,64,Female,Germany,2023-12-23,Social Media
63,52,Male,Netherlands,2022-03-13,Google Ads
64,31,Male,Switzerland,2022-02-16,Social Media
65,34,Female,Germany,2023-11-09,Social Media
66,53,Female,Switzerland,2022-08-22,Social Media
67,67,Male,Germany,2022-10-24,Social Media
68,57,Female,Germany,2022-03-23,Referral
69,21,Male,Switzerland,2022-08-27,Social Media
70,19,Male,Belgium,2022-04-14,Google Ads
71,23,Male,Germany,2023-01-25,Email
72,59,Male,Germany,2022-10-12,Google Ads
73,21,Female,Germany,2023-04-10,Social Media
74,46,Male,Germany,2023-10-13,Google Ads
75,35,Female,Germany,2023-01-09,Social Media
76,43,Female,Germany,2022-06-16,Google Ads
77,61,Male,Austria,2023-01-15,Social Media
78,51,Female,Germany,2022-12-30,Email
79,27,Male,Germany,2022-08-03,Email
80,53,Female,Switzerland,2023-11-18,Google Ads
81,31,Male,Switzerland,2022-10-01,Google Ads
82,48,Male,Germany,2023-12-20,Google Ads
83,65,Male,Germany,2023-12-01,Organic
84,32,Male,Austria,2023-10-26,Social Media
85,25,Male,Germany,2022-03-15,Email
86,31,Female,Germany,2023-09-16,Organic
87,40,Female,Switzerland,2023-10-13,Google Ads
88,57,Female,Germany,2022-06-25,Social Media
89,38,Female,Germany,2023-07-01,Google Ads
90,33,Male,Germany,2022-09-08,Social Media
91,62,Male,Germany,2022-06-17,Social Media
92,35,Male,Germany,2023-04-19,Social Media
93,64,Male,Belgium,2023-01-24,Social Media
94,41,Female,Germany,2022-10-04,Google Ads
95,43,Female,Germany,2023-10-18,Organic
96,42,Male,Germany,2023-12-06,Social Media
97,62,Male,Netherlands,2023-07-25,Referral
98,58,Female,Austria,2022-08-13,Referral
99,46,Female,Germany,2023-12-03,Referral
100,32,Male,Netherlands,2022-11-29,Organic
101,62,Female,Germany,2022-02-27,Google Ads
102,18,Female,Germany,2022-08-23,Social Media
103,42,Male,Germany,2022-02-02,Email
104,24,Male,Germany,2022-11-20,Email
105,26,Female,Germany,2023-02-15,Organic
106,41,Female,Austria,2022-10-02,Referral
107,18,Female,Germany,2022-03-09,Google Ads
108,61,Male,Austria,2022-08-05,Google Ads
109,25,Male,Germany,2023-08-04,Social Media
110,41,Female,Germany,2022-11-19,Social Media
111,28,Female,Germany,2022-08-06,Google Ads
112,68,Male,Netherlands,2023-11-03,Email
113,34,Female,Germany,2023-05-27,Organic
