transaction_id,customer_id,transaction_date,product_name,product_category,quantity,unit_price,total_amount
33677,3620,2022-01-05,Headphones,Electronics,1,82.6,82.6
1552,163,2022-01-06,Smartphone,Electronics,2,597.01,1194.01
3477,391,2022-01-10,Laptop,Electronics,1,812.52,812.52
1533,163,2022-01-14,Backpack,Accessories,2,52.26,104.52
11451,1265,2022-01-16,Coffee Maker,Home,1,71.57,71.57
46211,4976,2022-01-16,Sneakers,Footwear,2,85.54,171.08
45430,4889,2022-01-17,Laptop,Electronics,1,859.69,859.69
19266,2052,2022-01-18,Smartphone,Electronics,2,616.72,1233.45
35209,3778,2022-01-19,Coffee Maker,Home,1,84.25,84.25
46224,4976,2022-01-20,T-Shirt,Clothing,1,25.56,25.56
39884,4284,2022-01-21,Smartphone,Electronics,2,577.44,1154.88
3736,421,2022-01-21,Sneakers,Footwear,3,81.92,245.77
15995,1700,2022-01-22,Laptop,Electronics,1,915.02,915.02
13611,1473,2022-01-24,Sneakers,Footwear,1,71.89,71.89
33670,3620,2022-01-24,Sneakers,Footwear,1,73.87,73.87
3444,391,2022-01-25,Backpack,Accessories,1,53.11,53.11
28801,3043,2022-01-25,Book,Books,1,15.81,15.81
16225,1714,2022-01-27,T-Shirt,Clothing,1,24.64,24.64
8778,979,2022-01-27,Laptop,Electronics,1,945.72,945.72
6226,679,2022-01-28,Backpack,Accessories,1,47.35,47.35
38526,4141,2022-01-28,Jeans,Clothing,1,60.34,60.34
16256,1714,2022-01-29,Coffee Maker,Home,1,79.13,79.13
1541,163,2022-01-29,Backpack,Accessories,1,52.93,52.93
46206,4976,2022-01-30,Headphones,Electronics,1,93.58,93.58
35007,3756,2022-01-31,Book,Books,1,14.89,14.89
16020,1700,2022-02-01,Sneakers,Footwear,2,83.63,167.26
22558,2400,2022-02-01,Backpack,Accessories,1,51.98,51.98
27621,2940,2022-02-01,Jeans,Clothing,1,59.72,59.72
35904,3865,2022-02-02,Backpack,Accessories,1,44.14,44.14
6236,679,2022-02-02,Smartphone,Electronics,1,543.2,543.2
26258,2813,2022-02-02,Jeans,Clothing,1,64.54,64.54
31049,3287,2022-02-03,Smartphone,Electronics,1,598.55,598.55
13616,1473,2022-02-03,Coffee Maker,Home,1,75.26,75.26
34380,3695,2022-02-03,Watch,Accessories,1,199.78,199.78
13045,1415,2022-02-04,Backpack,Accessories,2,50.26,100.52
32817,3516,2022-02-04,Watch,Accessories,1,203.01,203.01
1545,163,2022-02-05,Watch,Accessories,3,183.96,551.89
42542,4579,2022-02-06,Backpack,Accessories,2,49.09,98.18
46219,4976,2022-02-06,Smartphone,Electronics,1,625.39,625.39
32836,3519,2022-02-06,Headphones,Electronics,2,82.91,165.82
45740,4921,2022-02-07,Laptop,Electronics,1,982.67,982.67
29235,3088,2022-02-07,Backpack,Accessories,1,52.75,52.75
46198,4976,2022-02-07,Watch,Accessories,1,185.67,185.67
25966,2773,2022-02-08,Backpack,Accessories,1,50.18,50.18
11144,1232,2022-02-09,Book,Books,2,16.08,32.17
16239,1714,2022-02-09,T-Shirt,Clothing,1,23.42,23.42
23204,2480,2022-02-10,Coffee Maker,Home,1,75.09,75.09
43216,4660,2022-02-11,Book,Books,1,15.48,15.48
20429,2166,2022-02-11,Jeans,Clothing,1,61.37,61.37
15716,1683,2022-02-12,Laptop,Electronics,1,845.69,845.69
28790,3043,2022-02-12,Jeans,Clothing,1,64.15,64.15
31053,3287,2022-02-12,Laptop,Electronics,2,908.87,1817.75
35909,3865,2022-02-13,Sneakers,Footwear,1,80.09,80.09
3462,391,2022-02-14,Coffee Maker,Home,1,81.68,81.68
5463,610,2022-02-14,T-Shirt,Clothing,1,25.24,25.24
39565,4246,2022-02-15,Laptop,Electronics,1,973.04,973.04
22426,2381,2022-02-15,Laptop,Electronics,1,823.22,823.22
11118,1232,2022-02-15,T-Shirt,Clothing,1,27.28,27.28
19628,2083,2022-02-16,Book,Books,1,15.4,15.4
598,64,2022-02-16,Book,Books,1,16.0,16.0
6218,679,2022-02-17,Sneakers,Footwear,1,83.16,83.16
15966,1698,2022-02-17,Smartphone,Electronics,1,623.65,623.65
44318,4790,2022-02-18,Coffee Maker,Home,2,84.63,169.26
34974,3756,2022-02-18,Watch,Accessories,2,186.85,373.7
26078,2786,2022-02-18,Smartphone,Electronics,2,544.49,1088.98
38590,4145,2022-02-18,Sneakers,Footwear,1,82.24,82.24
25898,2770,2022-02-18,Book,Books,1,14.46,14.46
8273,921,2022-02-19,Jeans,Clothing,1,64.48,64.48
42211,4548,2022-02-19,Coffee Maker,Home,1,84.98,84.98
8229,907,2022-02-19,Jeans,Clothing,1,58.29,58.29
44659,4826,2022-02-19,Sneakers,Footwear,1,75.19,75.19
44699,4828,2022-02-20,Laptop,Electronics,1,889.23,889.23
